Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
MALAYALAM,10.089162,76.367085,4,5,25204,Govt. L. P. S. Erumathala,G,190,1 to 4,21,LP
MALAYALAM,10.069681,76.366099,7,11,25253,Govt. U. P. S. Nochima,G,191,1 to 7,112,UP
MALAYALAM,10.046727,76.363416,6,24,25095,Govt. V. H. S. S. Thrikkakara,G,192,5 to 10,216,HS
"MALAYALAM,ENGLISH",10.076181,76.387572,"7,7",18,25256,K. N. M. M. E. S. U. P. S. Edathala,A,193,1 to 7,"208,245",UP
MALAYALAM,10.109046,76.380373,4,5,25235,S. N. G. L. P. S. Thottumugham,A,194,1 to 4,109,LP
"MALAYALAM,ENGLISH",10.085434,76.336971,"11,5",28,25010,S. P. W. H. S. Aluva,A,195,5 to 10,"495,475",HS
"MALAYALAM,ENGLISH",10.085128,76.380362,"18,17",39,25259,St. Joseph`s U. P. S. Chunangamveli,A,196,1 to 7,"666,711",UP
MALAYALAM,10.087595,76.350759,4,0,25232,TSC LPS Thaikkattukara,A,197,1 to 4,20,LP
"MALAYALAM,ENGLISH",10.034252,76.430071,"40,14",71,25043,Bethlehem Girls H. S. Njaralloor,A,198,1 to 10,"1657,588",HS
"MALAYALAM,ENGLISH",10.000944,76.458769,"18,14",51,25049,Govt. H. S. S. Kadayirippu,G,199,5 to 10,"760,604",HS
"MALAYALAM,ENGLISH",9.951136,76.455566,"16,13",46,25050,Govt. H. S. S. Poothrikka,G,200,1 to 10,"415,469",HS
MALAYALAM,9.937672,76.444513,4,5,25614,Govt. J. B. S. Neeramugal,G,201,1 to 4,17,LP
MALAYALAM,9.933588,76.408919,4,5,25609,Govt. J. B. S. Kaniattunirappu,G,202,1 to 4,56,LP
MALAYALAM,9.995701,76.418871,4,5,25611,Govt. J. B. S. Kutta,G,203,1 to 4,19,LP
MALAYALAM,9.947806,76.395052,4,5,25615,Govt. J. B. S. Vennikulam,G,204,1 to 4,67,LP
MALAYALAM,10.072849,76.413423,4,6,25610,Govt. L. P. S. Malayidamthuruthu,G,205,1 to 4,20,LP
